,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,announce,start,end,enforce,group,country_label,all_requ,gen_requ,tar_requ,all_reco,date_start_gen_req_min,check1,first_order,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
552,Uruguay,URY,1/1/2020,3/12/2020,0_no_measures,missing,,NA,,,control,c_URY,TRUE,TRUE,FALSE,TRUE,4/2/2020,NA,NA,,,,,,
158,El Salvador,SLV,3/21/2020,5/31/2020,3_required,1_general,3/21/2020,3/21/2020,6/15/2020,mandatory,treatment,t_SLV,TRUE,TRUE,FALSE,FALSE,3/21/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
522,Trinidad and Tobago,TTO,3/30/2020,5/31/2020,2_required_exceptions,1_general,3/26/2020,3/30/2020,4/30/2020,voluntary,treatment,t_TTO,TRUE,TRUE,FALSE,FALSE,3/30/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
524,Tunisia,TUN,3/20/2020,5/14/2020,2_required_exceptions,1_general,3/20/2020,3/22/2020,5/3/2020,mandatory,treatment,t_TUN,TRUE,TRUE,FALSE,TRUE,3/20/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
556,Uzbekistan,UZB,1/1/2020,3/26/2020,0_no_measures,missing,4/1/2020,4/1/2020,5/10/2020,mandatory,treatment,t_UZB,TRUE,TRUE,TRUE,FALSE,3/27/2020,FALSE,FALSE,,,,,,
525,Tunisia,TUN,5/15/2020,5/31/2020,1_recommended,1_general,3/20/2020,3/22/2020,5/3/2020,mandatory,treatment,t_TUN,TRUE,TRUE,FALSE,TRUE,3/20/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
527,Turkey,TUR,3/9/2020,3/20/2020,1_recommended,1_general,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,TRUE,,,,TRUE,TRUE
559,Vanuatu,VUT,1/1/2020,3/25/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_VUT,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
528,Turkey,TUR,3/21/2020,4/10/2020,2_required_exceptions,1_general,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,update,3/30/2020,3_required,,TRUE,TRUE
561,Venezuela,VEN,1/1/2020,3/12/2020,0_no_measures,missing,3/16/2020,3/17/2020,5/31/2020,mandatory,treatment,t_VEN,TRUE,TRUE,FALSE,FALSE,3/13/2020,FALSE,FALSE,,,,,,
