policy_id,province_region,response_level,date_announce,date_start,source type,link,policy_facemask,policy_business,policy_institution,policy_office,policy_school,created_by,verified_by,verification_action,verification_notes
P37,Gansu,Level I,1/25/2020,1/25/2020,Government announcement,http://www.gansu.gov.cn/art/2020/1/25/art_35_442970.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P38,Gansu,Level III,2/27/2020,2/27/2020,Government announcement,http://wsjk.gansu.gov.cn/single/11220/84489.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P39,Gansu,Level IV,5/11/2020,5/11/2020,Government announcement,http://wsjk.gansu.gov.cn/single/10910/85728.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P1,Guangdong,Level I,1/23/2020,1/23/2020,Government announcement,http://www.gd.gov.cn/gdywdt/gdyw/content/post_2878901.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P2,Guangdong,Level II,2/24/2020,2/24/2020,Government announcement,http://www.gd.gov.cn/gdywdt/gdyw/content/post_2906010.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P3,Guangdong,Level III,5/8/2020,5/9/2020,Government announcement,http://www.gd.gov.cn/zwgk/zdlyxxgkzl/zhsgjy/yljh/content/post_2990224.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P19,Guangxi,Level I,1/24/2020,1/24/2020,Government announcement,http://www.gxzf.gov.cn/zt/jd/qlkjxxgzbdgrfyyq/yw_28017/t979449.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P33,Guangxi,Level I,1/24/2020,1/24/2020,Government announcement,http://www.guizhou.gov.cn/xwdt/jrgz/202001/t20200124_45007797.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,delete,duplicate
P20,Guangxi,Level III,2/24/2020,2/24/2020,Government announcement,http://www.jcj.gov.cn/bclm/qlkjxxgzbdgrfyyq/gzyw/t3981042.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,delete,duplicate
P34,Guangxi,Level III,2/23/2020,2/24/2020,Government announcement,http://www.gzhfpc.gov.cn/xwzx_500663/ttxw/202002/t20200223_51119495.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
X38,Hainan,Level I,1/25/2020,1/25/2020,Government announcement,http://www.hainan.gov.cn/hainan/ldhd/202001/3bcc8f11e8e74261b6fe44bb3a760ae1.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X37,Hainan,Level II,1/24/2020,1/24/2020,Government announcement,http://www.hainan.gov.cn/hainan/ldhd/202001/66dd40e6bd4e4b2c809a7b715a5f55e1.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X39,Hainan,Level III,2/26/2020,2/26/2020,News source,http://www.hi.chinanews.com.cn/hnnew/2020-02-26/515793.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X18,Hebei,Level I,1/25/2020,1/25/2020,News source,http://www.he.xinhuanet.com/xinwen/2020-01/25/c_1125500932.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X19,Hebei,Level II,4/29/2020,4/30/2020,News source,https://baijiahao.baidu.com/s?id=1665298462698361226&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X20,Hebei,Level III,6/5/2020,6/6/2020,News source,https://www.thepaper.cn/newsDetail_forward_7730315,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X6,Heilongjiang,Level I,1/25/2020,1/25/2020,Government announcement,http://www.hlj.gov.cn/zwfb/system/2020/01/25/010918651.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X5,Heilongjiang,Level II,1/21/2020,1/21/2020,Government announcement,http://www.hlj.gov.cn/zwfb/system/2020/01/25/010918643.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X7,Heilongjiang,Level II,3/4/2020,3/4/2020,News source,http://www.xinhuanet.com/2020-03/04/c_1125663348.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X8,Heilongjiang,Level III,3/25/2020,3/25/2020,Government announcement,http://www.hlj.gov.cn/zwfb/system/2020/03/25/010922415.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
P7,Henan,Level I,1/25/2020,1/25/2020,Government announcement,https://www.henan.gov.cn/2020/01-25/1285047.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P8,Henan,Level II,3/18/2020,3/19/2020,Government announcement,https://www.henan.gov.cn/2020/03-18/1306662.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P9,Henan,Level III,5/5/2020,5/6/2020,Government announcement,https://www.henan.gov.cn/2020/05-05/1352942.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
